Video name,Num shots,Num shots with people,Avg people per shot,Most common shot length,Avg shot duration (in seconds),Objects detected,People detected
1968_anti_vietnam_peace_protest_san_francisco_color_footage,5,4,1.75,1-VLS,5.091753333338425,,
1974_boston_busing_protests,18,14,2.4375,1-VLS,9.457596296305754,motorcycle|car|truck|horse|bus,
Action_Trailer_Vishal_Tamannaah_Hiphop_Tamizha_Sundar_C_Official,61,22,1.5789473684210527,1-VLS,2.056693989071038,car|truck|horse|airplane|skateboard|boat|bed|potted plant|motorcycle|book|kite|tv|frisbee,
aerial_footage_shows_extent_of_hong_kong_protest_bbc_news,11,3,3.8333333333333335,1-VLS,6.010909090909092,umbrella|bottle|car,
aerial_footage_shows_trafalgar_square_packed_for_anti_trump_protest,12,3,2.0,,3.8,bottle,
American_Factory_Official_Trailer_Netflix,76,60,2.707692307692308,1-VLS,2.135905701756522,car|cell phone|airplane|chair|tie|backpack|umbrella|cup|bottle|truck|remote|laptop|handbag,
billy_lynns_long_halftime_walk_teaser_trailer_hd,51,29,2.727272727272727,1-VLS,2.7846446078459217,car|horse|bird|handbag|tie|boat,
canon_in_d_northern_string_quartet_official_short_live_demo,2,1,2.0,,88.04611994467665,umbrella|chair,
danish_string_quartet_npr_music_tiny_desk_concert,52,35,2.28,6-CU,21.312962338687047,book|cup|bottle|remote|chair|tv,
funny_orchestra_plays_microsoft_windows_the_waltz,13,10,2.909090909090909,1-VLS,15.32,chair|tie,
gangster_squad_next_level_featurette_available_on_blu_ray_and_dvd_may_20th_aZcB2QtwVaE_360p,50,28,1.7575757575757576,1-VLS,2.6276250000026278,tie|book|tv|baseball bat|car|chair,
gemini_man_2019_official_trailer_paramount_pictures,36,17,1.6363636363636365,1-VLS,3.36910648148485,motorcycle|car|bird|umbrella|backpack|dog|bicycle|chair,
gemini_man_official_trailer_2_2019_paramount_pictures,66,40,1.4883720930232558,1-VLS,2.2231805555577786,motorcycle|clock|vase|car|boat,
Get_Out_Official_Trailer_1_2017-Daniel_Kaluuya_Movie,62,48,2.326923076923077,1-VLS,2.455410035449289,bed|cell phone|book|remote|dog|car|truck|potted plant|chair|bench|horse|bottle|wine glass|umbrella|tie|tv|train|airplane,
hong_kong_protesters_challenging_face_mask_ban,12,10,7.0,,5.933333333333334,handbag|umbrella|tv|backpack|cell phone,
It_Trailer_1_2017_Movieclips_Trailers,43,20,1.92,1-VLS,3.310477520512448,bicycle|bird|handbag|car|chair|book|banana,
John_Wick_Chapter_2_Official_Trailer,31,15,1.8333333333333333,1-VLS,4.263668010756952,car|clock,
life_of_pi_official_trailer_2_2012_ang_lee_movie_hd,52,15,0.9444444444444444,1-VLS,3.0382916666697044,chair|book|bowl|tv|elephant|bird|airplane|surfboard,
los_angeles_childrens_orchestra_flash_mob_practice,5,4,7.0,3-MLS,26.6516233089575,chair|car|handbag|bench,
Mad_Max_Fury_Road-Official_Main_Trailer,41,21,1.1071428571428572,1-VLS,3.734421611092401,tv|dog|boat|motorcycle|potted plant|cell phone|train,
MIDSOMMAR_Official_Trailer_HD_A24,53,39,3.380952380952381,1-VLS,2.980178459122477,potted plant|cup|chair|dining table|cell phone|tv|bottle|bird|giraffe,
millions_in_150_countries_join_protest_for_climate_action,34,28,3.838709677419355,3-MLS,4.740029411769446,backpack|skateboard|handbag|tv|traffic light|baseball bat|umbrella|tie|horse,
moscow_police_detain_hundreds_over_election_protests,16,11,3.8461538461538463,,5.08,bird|train|bus|car|dog|suitcase,
my_heart_will_go_on_james_horner,35,29,2.433333333333333,1-VLS,6.250285714285715,cell phone|umbrella|tie|motorcycle|hair drier,
n_paganini_caprice_no_5_sumina_studer,1,1,2.0,4-MS,168.92,,
Official_Trailer_TROUBLE_WITH_THE_CURVE-Clint_Eastwood_Justin_Timberlake,58,48,2.5576923076923075,1-VLS,2.4428273351011724,tv|couch|suitcase|chair|tie|bottle|cup|car|potted plant|bed,
raw_footage_freddie_gray_protest_unrest_in_baltimore,17,12,4.2,,12.025739215698302,car|motorcycle|tie|handbag,
raw_footage_from_protest_of_milo_yiannopoulos_event_at_uc_berkeley,52,29,2.193548387096774,1-VLS,3.9090308257036495,cup|umbrella|tv,
SpeedShortTrailer,34,19,1.1923076923076923,1-VLS,1.8490196078431371,bus|airplane|keyboard|dog|car|truck,KeanuReeves|JeffDaniels|JoeMorton|DennisHopper|SandraBullock
Speed_1994_Trailer,68,33,1.1063829787234043,1-VLS,2.4706053921593334,remote|tv|bird|traffic light|bus|car|truck|clock|airplane|train,
string_duet_IN7UBL1dNDE_720p,50,47,1.5918367346938775,3-MLS,7.7424,boat|tie|umbrella|laptop|car|tennis racket|surfboard,
tchaikovsky_nutcracker_suite_4_trepak_volker_hartung_cologne_new_philharmonic_orchestra,10,8,3.0,3-MLS,7.127999999999999,laptop,
Terminator_Dark_Fate,57,32,1.2894736842105263,1-VLS,2.6744554093593997,tv|frisbee|potted plant|car|backpack|chair|keyboard,
the_arrival_of_the_queen_of_sheba_singapore_string_quartet,1,1,5.0,3-MLS,189.4,chair,
the_avengers_theme_symphony_orchestra_live,2,0,4.0,,61.833333333333336,chair,
The_Kingmaker_2019_Official_Trailer_SHOWTIME_Documentary_Film,75,51,2.267857142857143,1-VLS,2.236122777780014,clock|bottle|laptop|boat|chair|frisbee|cup|wine glass|bowl|book|umbrella|car|donut|tie|cell phone,
THE_RAID-Area_51_Documentary_Trailer,27,4,1.0,1-VLS,5.819393827166314,tennis racket|truck|suitcase|stop sign,
The_Terminator_1984_Official_Trailer_Arnold_Schwarzenegger,55,23,1.2,1-VLS,2.1908248459245647,wine glass|traffic light|bench|car|motorcycle|cat|tv|backpack|bottle|tie,
The_Witch_Official_Trailer_HD_A24,41,24,1.48,1-VLS,3.7344216098775,chair,
toronto_symphony_orchestra_o_canada,29,22,6.518518518518518,3-MLS,3.648472413796752,chair|baseball bat|suitcase,
two_pieces_for_string_quartet_1_lento_molto_tranquillo_legato,8,4,2.8,1-VLS,38.663625000038664,chair,
